Platform,Content,Toxicity
Twitter,"On sort sur son balcon ça suit illico avec les écoutes depuis la planque du dessus je cite "" tarée "" folle"" Un appart employé depuis plus de 14 ans que pour ça, le #communautarismede haine, le #harcèlement criminel, la #criminalité  rampante pour voler la santé https://t.co/ncqCy5idTb",0.0189
Twitter,@requ1ssb Aucune bienveillance ont va #harcèlement,0.0256
Twitter,"Une agente de La Poste a entamé une grève de la faim pour dénoncer des actes d'agression sexuelle et de #harcèlement à son encontre.
Ce qu'elle décrit démontre qu'il s'agit de harcèlement systémique.
Avec complicités à différents niveaux de l'entreprise.
https://t.co/6ZYMNWNaO7",0.0065
Twitter,@iliesthoughts Ct des forceuses #harcelement presque,0.0056
Twitter,"@BrunoRetailleau  dit que ""la république ne fait pas de différence sur la couleur de peau et l'origine"".
IL MENT.
Qu'il dise cela aux #Françaisdesouche demandant une #HLM ou subissant le #harcèlement des #CAF et des #impôts. 
Chassons ces pourris de nos institutions. #Afuera",0.0229
Twitter,"Échantillon du #harcèlement diffamatoire dans les espaces, lieux et  transports publiccs organisé depuis la planque du dessus au moyen des écoutes pour placer les relais sur mmn chemin. Plus de 14 ans  d' acharnement de haine de ce #réseau  #harcèlementcriminel https://t.co/Kb4DOK37v3",0.0015
Twitter,"➡️Pour ma part, je me réserve le Droit de déposer Plainte pour #Harcèlement #Intimidation #MenaceDéguisée 
👉Vous avez choisi de bloquer votre Messagerie, c'est Votre choix, mais ne m'envoyez pas de messagers",0.0242
Twitter,"Bonjour M. Leboeuf, pour votre parfaite information je ne veux pas savoir combien coûte ma voiture ! En plus je n’ai même pas de voiture ! Merci de votre compréhension.
#YouTube @YouTube #vendezvotrevoiture
#voiture #harcelement",0.0295
Twitter,"comparaissent devant le tribunal de Bobigny. Lundi, « Tommy » François devait justifier de faits de #harcèlement sexuel, moral et de tentative d’#agressionsexuelle.)
https://t.co/wYzvWKnE5u",0.0028
Twitter,"🔴 @LaVoixDelEnfant, savez-vous que votre avocate Me Mireille Rodet est associée à un homme accusé de violences, harcèlement et attouchements sur sa propre fille ? Une enquête et un livre exposent les faits. Votre crédibilité est en jeu. #Harcèlement #EnfanceEnDanger",0.0355
